City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,hobart,AU,2021-12-27 00:09:25,-42.8794,147.3294,64.06,47,75,1.01
1,busselton,AU,2021-12-27 00:09:26,-33.65,115.3333,83.05,43,94,12.08
2,albany,US,2021-12-27 00:06:33,42.6001,-73.9662,37.09,78,40,3.0
3,constitucion,CL,2021-12-27 00:09:26,-35.3333,-72.4167,60.73,76,100,7.52
4,dzaoudzi,YT,2021-12-27 00:09:27,-12.7887,45.2699,80.49,83,40,2.3
5,pacific grove,US,2021-12-27 00:09:27,36.6177,-121.9166,53.71,68,40,5.01
6,guilin,CN,2021-12-27 00:06:36,25.2819,110.2864,32.77,69,99,8.72
7,verkhnevilyuysk,RU,2021-12-27 00:09:28,63.4453,120.3167,-17.07,98,100,4.97
8,mahebourg,MU,2021-12-27 00:09:28,-20.4081,57.7,76.24,82,40,10.0
9,hithadhoo,MV,2021-12-27 00:09:28,-0.6,73.0833,81.61,67,34,11.41
10,butaritari,KI,2021-12-27 00:09:29,3.0707,172.7902,82.29,73,60,11.74
11,lompoc,US,2021-12-27 00:09:29,34.6391,-120.4579,57.42,63,1,11.5
12,northam,GB,2021-12-27 00:09:30,51.0333,-4.2167,50.41,99,92,8.93
13,hilo,US,2021-12-27 00:08:59,19.7297,-155.09,78.53,58,40,11.5
14,leh,IN,2021-12-27 00:09:30,34.1667,77.5833,3.45,94,94,1.07
15,georgetown,MY,2021-12-27 00:08:51,5.4112,100.3354,78.89,84,20,8.05
16,aykhal,RU,2021-12-27 00:09:31,66.0,111.5,-22.59,99,93,7.7
17,ilulissat,GL,2021-12-27 00:09:31,69.2167,-51.1,24.82,50,9,2.3
18,ribeira grande,PT,2021-12-27 00:09:32,38.5167,-28.7,63.75,82,47,35.84
19,pevek,RU,2021-12-27 00:09:32,69.7008,170.3133,-16.38,98,100,3.89
20,xinyu,CN,2021-12-27 00:09:33,27.8043,114.9334,32.36,88,98,3.53
21,carnarvon,AU,2021-12-27 00:09:33,-24.8667,113.6333,77.07,83,93,13.8
22,nanortalik,GL,2021-12-27 00:09:33,60.1432,-45.2371,27.18,67,76,6.64
23,vao,NC,2021-12-27 00:09:34,-22.6667,167.4833,77.63,77,60,5.97
24,kasongo-lunda,CD,2021-12-27 00:09:34,-6.4667,16.8167,69.03,98,100,0.98
25,bathsheba,BB,2021-12-27 00:09:35,13.2167,-59.5167,75.81,73,20,9.22
26,maiduguri,NG,2021-12-27 00:09:35,11.8464,13.1603,68.94,23,3,5.46
27,pemangkat,ID,2021-12-27 00:07:17,1.1667,108.9667,78.84,85,100,5.06
28,barrow,US,2021-12-27 00:09:36,71.2906,-156.7887,-3.98,77,90,18.41
29,vaini,TO,2021-12-27 00:09:36,-21.2,-175.2,84.36,84,75,5.75
30,kuching,MY,2021-12-27 00:09:36,1.55,110.3333,75.42,100,40,3.44
31,cockburn town,TC,2021-12-27 00:09:37,21.4612,-71.1419,77.95,72,1,14.14
32,new norfolk,AU,2021-12-27 00:09:37,-42.7826,147.0587,63.72,31,19,3.62
33,ndele,CF,2021-12-27 00:09:38,8.4109,20.6473,76.55,26,100,4.34
34,bardiyah,LY,2021-12-27 00:09:38,31.7561,25.0865,57.34,56,20,6.31
35,svetlogorsk,BY,2021-12-27 00:09:38,52.6333,29.7333,15.08,94,37,4.47
36,hermanus,ZA,2021-12-27 00:09:39,-34.4187,19.2345,68.81,89,11,4.79
37,oksbol,DK,2021-12-27 00:09:39,55.6268,8.2876,23.29,72,4,17.83
38,dennery,LC,2021-12-27 00:09:40,13.8996,-60.8879,77.54,88,20,0.0
39,samfya,ZM,2021-12-27 00:09:40,-11.3649,29.5565,68.72,56,82,4.88
40,kapaa,US,2021-12-27 00:06:41,22.0752,-159.319,78.78,75,40,1.01
41,teknaf,BD,2021-12-27 00:09:41,20.8624,92.3058,61.65,70,0,5.82
42,atuona,PF,2021-12-27 00:09:41,-9.8,-139.0333,78.87,74,78,15.97
43,thompson,CA,2021-12-27 00:09:41,55.7435,-97.8558,-26.0,99,80,2.46
44,chokurdakh,RU,2021-12-27 00:09:42,70.6333,147.9167,-28.7,100,100,3.89
